2020-04-30 15:18:42,230 [INFO ]  Downloaded TF-Hub Module 'http://models.poly-ai.com/convert/v1/model.tar.gz'.
2020-04-30 15:19:03,780 [INFO ]  MappingPolicy not included in policy ensemble. Default intents 'restart and back will not trigger actions 'action_restart' and 'action_back'.
2020-04-30 15:22:22,890 [INFO ]  Starting Rasa server on http://localhost:5005
2020-04-30 15:22:23,838 [INFO ]  Using /var/folders/93/rn8zmqzs65l8sp2bzxb9073c0000gn/T/tfhub_modules to cache modules.
2020-04-30 15:22:23,841 [INFO ]  Downloading TF-Hub Module 'http://models.poly-ai.com/convert/v1/model.tar.gz'.
2020-04-30 15:22:41,055 [INFO ]  Downloading http://models.poly-ai.com/convert/v1/model.tar.gz: 52.35MB
2020-04-30 15:22:56,446 [INFO ]  Downloading http://models.poly-ai.com/convert/v1/model.tar.gz: 98.59MB
2020-04-30 15:23:13,296 [INFO ]  Downloading http://models.poly-ai.com/convert/v1/model.tar.gz: 148.59MB
2020-04-30 15:23:14,184 [INFO ]  Downloaded http://models.poly-ai.com/convert/v1/model.tar.gz, Total size: 152.02MB
2020-04-30 15:23:14,186 [INFO ]  Downloaded TF-Hub Module 'http://models.poly-ai.com/convert/v1/model.tar.gz'.
2020-04-30 15:23:33,854 [INFO ]  MappingPolicy not included in policy ensemble. Default intents 'restart and back will not trigger actions 'action_restart' and 'action_back'.
2020-04-30 15:24:44,211 [WARNI]  Received a message from facebook that we can not handle. Message: {'sender': {'id': '102528498120245'}, 'recipient': {'id': '4357184320965796'}, 'timestamp': 1588274738039, 'message': {'mid': 'm_Lxx9k2soMHyRR0hORJ9_zQmsarLrTO26DBeTLexI3u2zX8S-QAKoPNYAyusplBGYh56HGnlG5X-Wu1TYGJxmEQ', 'is_echo': True, 'text': 'Hi. How are you feeling?', 'app_id': 830805660775187}}
2020-04-30 15:24:59,538 [WARNI]  Received a message from facebook that we can not handle. Message: {'sender': {'id': '102528498120245'}, 'recipient': {'id': '4357184320965796'}, 'timestamp': 1588274753374, 'message': {'mid': 'm_Sf1uMQFPCnVIxr5dViBeUwmsarLrTO26DBeTLexI3u3C55lvpO97pdl8WzNrNEkZKPtB_DVZ-C6VpBqrUpUkvQ', 'is_echo': True, 'text': 'I am good'}}
2020-04-30 15:25:24,991 [WARNI]  Received a message from facebook that we can not handle. Message: {'sender': {'id': '102528498120245'}, 'recipient': {'id': '4357184320965796'}, 'timestamp': 1588274778789, 'message': {'mid': 'm_puwxQCIFfN8ZZ4VwVmrljwmsarLrTO26DBeTLexI3u2E2waFyaf9Np6u-2KLKwsA79ql1RO-6GkSZLD9p66OIQ', 'is_echo': True, 'text': 'Why are you happy?', 'app_id': 830805660775187}}
2020-04-30 15:25:37,848 [WARNI]  Received a message from facebook that we can not handle. Message: {'sender': {'id': '102528498120245'}, 'recipient': {'id': '4357184320965796'}, 'timestamp': 1588274791216, 'message': {'mid': 'm_bKwZ6cZgjnnwXO2uDadPTQmsarLrTO26DBeTLexI3u1KRvXlotXD1vo6i7OXFN4nigvwJv_wRSNZMkzNMIjUuA', 'is_echo': True, 'text': 'That is great', 'app_id': 830805660775187}}
2020-04-30 15:25:38,182 [WARNI]  Received a message from facebook that we can not handle. Message: {'sender': {'id': '102528498120245'}, 'recipient': {'id': '4357184320965796'}, 'timestamp': 1588274791774, 'message': {'mid': 'm_tulBGFodOrIWRrw-AiZGvAmsarLrTO26DBeTLexI3u3QnD8lqN0W0H89sbRZ8RZaBfh4yvQ08_vsCu7xcLdG8Q', 'is_echo': True, 'text': 'This conversation seems like it\'s \'happiness\'.\nThis reminds me of the passage from The Goldfinch by Donna Tartt, which goes: "I had the epiphany that laughter was light, and light was laughter, and that this was the secret of the universe."', 'app_id': 830805660775187, 'attachments': [{'title': '', 'url': None, 'type': 'template', 'payload': {'template_type': 'button', 'buttons': [{'type': 'postback', 'title': 'Yes', 'payload': '/happiness'}, {'type': 'postback', 'title': 'No', 'payload': '/out_of_scope'}]}}]}}
